"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","TC-06-088 @critical max-length truncation","firefox","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","1438","TC-04-051 @critical click handlers fire inside web components","firefox","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","601","TC-05-066 @critical item row removal clears element","chromium","2026-05-29","passed","2026-05-29","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","1","TC-06-095 @major escape closes checkout safely","chromium","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","1124","TC-03-045 @major hi-res asset request fires on zoom","chromium","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","2","TC-08-119 @major orientation switch reflows menu","webkit","2026-05-29","skipped","2026-05-29","ResponsiveNavigationService","08-responsive-navigation/navigation.spec.js","",""
"","1551","TC-03-039 @major keyboard focus outline on SVG controls","firefox","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","3371","TC-04-052 @critical extract hidden text inside shadow tree","webkit","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","1449","TC-04-053 @critical data-test attributes available in shadow","webkit","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","2","TC-08-123 @major dark mode toggle works","firefox","2026-05-29","skipped","2026-05-29","ResponsiveNavigationService","08-responsive-navigation/navigation.spec.js","",""
"","1464","TC-04-058 @major shadow component transitions perform smoothly","webkit","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","1442","TC-04-049 @critical mini-cart widget operates inside shadow DOM","firefox","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","2","TC-06-089 @critical symbol injection in name","firefox","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","1","TC-07-102 @critical double-click does not duplicate","chromium","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","1057","TC-04-055 @major nested components resolve without timeout","webkit","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","718","TC-04-059 @major shadow layout reacts to resize","chromium","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","1","TC-08-124 @major external footer links use rel=noopener","webkit","2026-05-29","skipped","2026-05-29","ResponsiveNavigationService","08-responsive-navigation/navigation.spec.js","",""
"","0","TC-08-126 @major keyboard tab order logical","firefox","2026-05-29","skipped","2026-05-29","ResponsiveNavigationService","08-responsive-navigation/navigation.spec.js","",""
"","7957","TC-08-116 @critical side drawer opens on tablet","chromium","2026-05-29","passed","2026-05-29","ResponsiveNavigationService","08-responsive-navigation/navigation.spec.js","",""
"","930","TC-03-047 @major layout stable with long names","firefox","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","1101","TC-03-035 @critical option change updates hero image","chromium","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","1522","TC-03-034 @critical color swatch click activates SVG path","webkit","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","9707","TC-01-006 @critical password length > 255 rejected","firefox","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","1","TC-06-093 @major autofill doesn't misalign layout","firefox","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","0","TC-06-094 @major terms checkbox required","webkit","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","8839","TC-08-116 @critical side drawer opens on tablet","webkit","2026-05-29","passed","2026-05-29","ResponsiveNavigationService","08-responsive-navigation/navigation.spec.js","",""
"","510","TC-05-071 @critical max qty enforced","webkit","2026-05-29","passed","2026-05-29","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","19439","TC-07-099 @critical order placed message is visible","webkit","2026-05-29","passed","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","17748","TC-01-016 @major modal close discards unsaved input","firefox","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","0","TC-07-110 @major tracking maps to initial order state","chromium","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","9543","TC-01-009 @critical password case sensitivity enforced","firefox","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","8709","TC-02-022 @critical card click routes to product detail","webkit","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","703","TC-05-076 @critical modified variations preserve unique attributes in distinct rows","chromium","2026-05-29","passed","2026-05-29","","05-shopping-cart/cart.spec.js","",""
"","8324","TC-01-013 @major session propagates to new tab","chromium","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","2","TC-06-090 @critical whitespace-only inputs invalid","firefox","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","2484","TC-01-014 @major localStorage.clear() resets to guest","webkit","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","1135","TC-04-049 @critical mini-cart widget operates inside shadow DOM","chromium","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","1107","TC-04-054 @critical shadow state updates light DOM","chromium","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","8147","TC-02-031 @major description text renders without overlap","firefox","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","9954","TC-01-001 @blocker register with valid alpha-numeric credentials","chromium","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","1","TC-06-093 @major autofill doesn't misalign layout","webkit","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","1","TC-07-100 @critical timestamp within window","firefox","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","1351","TC-04-052 @critical extract hidden text inside shadow tree","chromium","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","8660","TC-02-026 @critical all images return HTTP 200","webkit","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","9725","TC-01-006 @critical password length > 255 rejected","webkit","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","2","TC-06-088 @critical max-length truncation","webkit","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","1489","TC-04-049 @critical mini-cart widget operates inside shadow DOM","webkit","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","9788","TC-01-008 @critical XSS payload sanitized","webkit","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","1396","TC-02-028 @major deep link loads grid directly","webkit","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","1165","TC-03-047 @major layout stable with long names","webkit","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","8554","TC-02-031 @major description text renders without overlap","webkit","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","1","TC-07-102 @critical double-click does not duplicate","firefox","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","20627","TC-06-082 @blocker continue shopping returns home","chromium","2026-05-29","passed","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","2","TC-07-101 @critical cart flushed after order","chromium","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","353","TC-05-067 @critical custom quantity text field entry","firefox","2026-05-29","passed","2026-05-29","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","1032","TC-02-028 @major deep link loads grid directly","chromium","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","1775","TC-04-057 @major aria-expanded updates on dropdown","webkit","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","1","TC-07-110 @major tracking maps to initial order state","webkit","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","281","TC-01-005 @critical duplicate username rejected","firefox","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","9315","TC-01-015 @major whitespace trimmed on validation","chromium","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","941","TC-03-044 @major preferences persist across tabs","firefox","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","1107","TC-05-078 @major empty cart landing pages render helpful copy and store link","webkit","2026-05-29","passed","2026-05-29","","05-shopping-cart/cart.spec.js","",""
"","1062","TC-03-041 @major tooltip appears on feature hover","webkit","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","882","TC-05-075 @critical cart item counts in header update dynamically","firefox","2026-05-29","passed","2026-05-29","","05-shopping-cart/cart.spec.js","",""
"","688","TC-05-080 @major browser navigation paths preserve cart contents via back button","chromium","2026-05-29","passed","2026-05-29","","05-shopping-cart/cart.spec.js","",""
"","21028","TC-06-083 @blocker cart empties after purchase","webkit","2026-05-29","passed","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","17113","TC-01-007 @critical SQLi pattern sanitized","chromium","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","1","TC-06-095 @major escape closes checkout safely","firefox","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","9665","TC-01-003 @blocker login fails on incorrect password","webkit","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","2","TC-06-093 @major autofill doesn't misalign layout","chromium","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","22368","TC-06-082 @blocker continue shopping returns home","webkit","2026-05-29","passed","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","2","TC-07-106 @major print layout spacing clean","firefox","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","0","TC-06-087 @critical past year rejected","firefox","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","8538","TC-02-032 @major error boundary on department timeout","webkit","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","3","TC-06-087 @critical past year rejected","webkit","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","8517","TC-02-030 @major OOS badge respects backend","webkit","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","8145","TC-08-117 @critical footer links interactive","chromium","2026-05-29","passed","2026-05-29","ResponsiveNavigationService","08-responsive-navigation/navigation.spec.js","",""
"","1508","TC-04-054 @critical shadow state updates light DOM","webkit","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","9595","TC-01-003 @blocker login fails on incorrect password","firefox","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","8301","TC-08-115 @critical sticky header on scroll","chromium","2026-05-29","passed","2026-05-29","ResponsiveNavigationService","08-responsive-navigation/navigation.spec.js","",""
"","9381","TC-01-004 @blocker mandatory field validation on blank login","chromium","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
